line,from_station,to_station,time_seconds
1,용산,남영,110
1,남영,서울역,120
1,서울역,시청,120
1,시청,종각,100
1,종각,종로3가,90
1,종로3가,종로5가,90
1,종로5가,동대문,90
1,동대문,동묘앞,80
1,동묘앞,신설동,80
1,신설동,제기동,90
1,제기동,청량리,100
2,당산,합정,170
2,합정,홍대입구,100
2,홍대입구,신촌,110
2,신촌,이대,90
2,이대,아현,90
2,아현,충정로,90
2,충정로,시청,110
2,시청,을지로입구,90
2,을지로입구,을지로3가,90
2,을지로3가,을지로4가,80
2,을지로4가,동대문역사문화공원,100
2,동대문역사문화공원,신당,100
2,신당,상왕십리,100
2,상왕십리,왕십리,90
2,왕십리,한양대,100
3,경복궁,안국,100
3,안국,종로3가,90
3,종로3가,을지로3가,70
3,을지로3가,충무로,80
3,충무로,동대입구,100
3,동대입구,약수,90
3,약수,금호,90
3,금호,옥수,90
4,이촌,신용산,100
4,신용산,삼각지,90
4,삼각지,숙대입구,100
4,숙대입구,서울역,100
4,서울역,회현,90
4,회현,명동,90
4,명동,충무로,80
4,충무로,동대문역사문화공원,100
4,동대문역사문화공원,동대문,90
4,동대문,혜화,90
5,마포,공덕,100
5,공덕,애오개,110
5,애오개,충정로,100
5,충정로,서대문,90
5,서대문,광화문,120
5,광화문,종로3가,100
5,종로3가,을지로4가,90
5,을지로4가,동대문역사문화공원,90
5,동대문역사문화공원,청구,100
5,청구,신금호,100
5,신금호,행당,100
5,행당,왕십리,100
5,왕십리,마장,100
6,망원,합정,100
6,합정,상수,100
6,상수,광흥창,100
6,광흥창,대흥,100
6,대흥,공덕,110
6,공덕,효창공원앞,100
6,효창공원앞,삼각지,130
6,삼각지,녹사평,110
6,녹사평,이태원,90
6,이태원,한강진,100
6,한강진,버티고개,110
6,버티고개,약수,90
6,약수,청구,90
6,청구,신당,90
6,신당,동묘앞,100
6,동묘앞,창신,90
